SHI,N,P,K,pH,Crop,Urea (kg/ha),TSP (kg/ha),MoP (kg/ha)
37,12.59,11.3,30.93,7.34,Aman rice,120.0,87.6,36.0
31,12.25,5.51,54.36,5.97,Aman rice,140.4,64.8,30.0
76,12.08,5.55,45.68,7.2,Boro rice,119.0,58.6,17.8
66,12.61,12.18,20.32,4.55,Aus rice,121.0,72.0,55.0
83,19.51,6.2,48.87,6.82,Aus rice,71.4,61.2,39.1
76,6.68,7.32,32.17,6.68,Aman rice,102.8,39.9,45.0
34,6.72,12.55,29.34,7.52,Aman rice,145.2,52.8,45.6
66,9.03,7.98,46.51,5.81,Boro rice,81.0,59.0,47.0
67,8.07,5.61,32.13,7.86,Aman rice,101.0,32.0,44.0
68,13.63,7.85,54.36,6.48,Aman rice,96.0,69.0,28.0
36,17.95,13.64,43.96,4.63,Aman rice,134.4,70.8,69.6
56,15.75,8.15,28.9,6.4,Aman rice,77.0,50.0,53.0
89,12.34,14.89,43.06,4.97,Aus rice,88.4,51.9,37.4
66,19.93,12.32,49.28,7.32,Aman rice,81.0,46.0,51.0
48,12.99,11.74,24.41,6.98,Aus rice,122.4,82.8,34.8
69,5.58,7.83,21.17,4.6,Aman rice,135.0,50.0,28.0
58,11.09,14.86,53.53,7.5,Boro rice,137.0,37.0,50.0
45,5.84,5.95,33.02,7.46,Boro rice,111.6,54.0,25.2
63,8.42,14.12,56.1,7.73,Aus rice,75.0,50.0,39.0
83,14.82,7.0,37.33,4.54,Boro rice,65.5,54.4,26.3
90,14.06,5.87,53.85,4.93,Aus rice,100.3,58.6,25.5
83,6.61,12.6,53.07,5.47,Aus rice,104.5,35.7,25.5
56,19.37,13.86,43.6,6.61,Boro rice,113.0,36.0,21.0
71,7.25,10.28,22.62,7.41,Boro rice,124.0,38.0,56.0
77,14.55,9.58,35.63,7.73,Boro rice,107.1,28.9,22.1
47,14.78,4.99,34.89,7.08,Aman rice,103.2,63.6,60.0
70,18.84,14.51,49.37,7.57,Aman rice,83.0,53.0,35.0
45,13.62,4.45,45.63,5.43,Aus rice,91.2,46.8,39.6
43,19.35,11.65,33.62,6.37,Boro rice,164.4,70.8,68.4
83,19.18,4.94,30.5,6.96,Aman rice,85.0,44.2,26.3
31,11.33,8.86,51.43,5.93,Aus rice,139.2,75.6,28.8
59,8.62,7.81,20.48,7.11,Boro rice,110.0,80.0,30.0
77,14.68,7.34,30.13,4.51,Boro rice,98.6,61.2,41.6
49,14.21,12.5,54.28,6.02,Boro rice,135.6,60.0,36.0
49,12.35,6.33,53.74,5.99,Aman rice,114.0,81.6,28.8
47,13.09,10.76,57.22,6.0,Boro rice,165.6,80.4,60.0
85,5.77,11.59,38.41,4.69,Boro rice,62.9,66.3,37.4
81,11.41,8.27,28.48,6.91,Boro rice,73.1,57.8,39.9
59,17.43,11.61,47.9,5.02,Aman rice,76.0,44.0,39.0
37,7.24,4.74,44.64,6.36,Aus rice,146.4,85.2,43.2
73,19.35,11.05,47.05,6.43,Boro rice,136.0,49.0,59.0
49,5.24,5.8,51.5,6.64,Boro rice,106.8,48.0,40.8
49,8.0,13.0,52.32,5.06,Aman rice,132.0,70.8,34.8
73,11.53,13.97,30.47,4.51,Boro rice,113.0,67.0,21.0
87,12.83,13.25,29.06,4.91,Boro rice,113.9,56.9,24.6
87,6.1,5.79,56.84,5.18,Boro rice,97.8,55.2,27.2
31,12.97,12.44,57.86,6.18,Aus rice,117.6,45.6,67.2
39,5.15,8.37,24.01,6.85,Aus rice,165.6,90.0,34.8
63,6.6,4.08,49.97,7.3,Aus rice,74.0,72.0,55.0
32,11.69,6.23,40.08,4.99,Boro rice,120.0,76.8,63.6
60,8.94,10.96,34.0,7.42,Aus rice,128.0,79.0,48.0
49,8.96,9.61,28.18,5.17,Boro rice,166.8,36.0,45.6
82,7.44,13.64,36.21,6.77,Aus rice,105.4,36.5,40.8
46,16.35,11.89,34.01,4.75,Aus rice,112.8,46.8,61.2
67,13.56,5.54,55.48,6.47,Boro rice,137.0,63.0,38.0
37,18.77,9.55,50.87,5.98,Boro rice,158.4,74.4,44.4
66,6.55,11.79,37.5,7.4,Aus rice,87.0,49.0,59.0
57,18.83,13.56,21.75,6.62,Aman rice,104.0,58.0,25.0
37,18.59,14.48,32.35,5.54,Aman rice,147.6,44.4,61.2
78,16.91,10.14,53.24,6.95,Aman rice,77.3,41.6,28.9
66,19.73,9.78,39.02,7.94,Boro rice,93.0,49.0,35.0
65,15.5,7.59,25.37,7.78,Aus rice,79.0,71.0,49.0
55,19.09,10.42,22.46,7.19,Aman rice,70.0,51.0,56.0
78,13.39,12.32,31.01,4.75,Aman rice,113.0,47.6,20.4
44,19.42,9.81,38.29,6.24,Boro rice,87.6,37.2,62.4
44,16.76,12.78,24.93,7.39,Boro rice,139.2,80.4,30.0
51,17.15,7.67,45.75,6.96,Aman rice,124.0,47.0,45.0
67,19.54,9.41,33.06,5.31,Aman rice,126.0,39.0,30.0
38,18.32,11.53,26.72,7.3,Aman rice,151.2,60.0,39.6
71,8.75,4.98,27.53,7.53,Aman rice,123.0,43.0,36.0
90,12.08,9.52,54.04,5.19,Boro rice,68.0,57.8,34.9
65,11.05,10.06,44.91,5.47,Aus rice,80.0,37.0,25.0
70,5.15,7.65,37.28,6.34,Boro rice,106.0,50.0,33.0
55,5.56,5.16,32.97,7.14,Boro rice,84.0,56.0,29.0
44,17.75,7.07,51.06,5.3,Aus rice,152.4,82.8,26.4
34,19.33,3.29,55.77,4.76,Aus rice,127.2,36.0,31.2
39,10.57,7.53,53.66,7.9,Boro rice,145.2,49.2,67.2
84,19.67,10.7,49.85,6.97,Boro rice,93.5,33.1,45.9
59,6.47,5.81,36.11,4.72,Boro rice,94.0,73.0,24.0
76,7.73,12.8,56.62,6.48,Aman rice,102.0,38.2,27.2
74,11.96,4.58,30.92,5.15,Boro rice,70.0,51.0,52.0
40,11.55,13.76,40.16,6.33,Aus rice,90.0,81.6,50.4
49,9.36,14.29,22.94,4.84,Aman rice,112.8,73.2,52.8
55,5.52,9.02,52.48,7.47,Boro rice,135.0,70.0,51.0
68,17.04,8.41,43.98,7.04,Aman rice,105.0,44.0,41.0
78,10.57,9.38,22.46,7.75,Aus rice,106.2,56.1,17.8
39,17.92,3.54,53.11,5.19,Boro rice,142.8,73.2,39.6
65,7.72,13.51,57.68,5.38,Boro rice,85.0,79.0,29.0
48,10.43,11.88,35.86,5.19,Boro rice,165.6,72.0,39.6
40,11.12,8.53,44.61,6.42,Boro rice,121.2,42.0,49.2
60,8.41,3.25,44.8,6.46,Aman rice,114.0,79.0,36.0
64,9.48,12.63,45.59,5.56,Aus rice,135.0,72.0,41.0
37,19.21,9.1,22.49,6.92,Boro rice,99.6,70.8,44.4
55,10.38,6.22,47.92,5.84,Aman rice,108.0,57.0,53.0
40,17.95,7.58,32.51,5.74,Aus rice,96.0,54.0,31.2
79,5.08,3.3,21.1,4.71,Boro rice,77.3,26.3,44.2
45,15.11,3.92,45.57,5.09,Aus rice,86.4,60.0,54.0
37,16.32,12.35,57.5,5.4,Boro rice,111.6,56.4,49.2
33,8.66,12.33,58.79,5.37,Aman rice,136.8,86.4,44.4
84,10.03,12.13,53.14,7.89,Aus rice,76.5,38.2,17.0
47,9.41,7.15,40.83,7.32,Aman rice,132.0,66.0,43.2
55,18.05,10.94,35.24,5.56,Boro rice,96.0,61.0,56.0
69,17.64,7.38,33.76,6.56,Aus rice,103.0,71.0,42.0
62,18.41,4.61,33.8,6.61,Boro rice,113.0,78.0,54.0
67,13.25,7.67,42.6,7.18,Boro rice,112.0,78.0,54.0
51,5.92,5.09,32.1,5.04,Aman rice,112.0,39.0,26.0
78,16.37,7.37,57.14,5.31,Aus rice,110.5,62.9,18.7
68,19.02,5.77,59.39,4.57,Boro rice,93.0,31.0,50.0
67,13.36,9.84,50.0,4.87,Aus rice,91.0,46.0,33.0
58,6.93,9.34,28.32,6.11,Aus rice,71.0,59.0,45.0
32,8.72,6.1,57.54,6.46,Boro rice,84.0,55.2,72.0
82,14.23,6.33,35.99,7.89,Aman rice,107.1,39.9,21.2
90,7.49,7.74,54.46,4.78,Aman rice,109.6,35.7,34.0
39,9.38,13.37,43.48,7.79,Boro rice,150.0,70.8,42.0
89,16.04,13.55,35.06,6.81,Aus rice,66.3,68.0,48.4
37,7.78,12.68,28.86,7.61,Aman rice,142.8,51.6,56.4
51,19.55,13.55,38.65,6.33,Aus rice,72.0,70.0,35.0
77,11.41,7.35,20.23,6.59,Boro rice,108.8,25.5,31.4
47,5.87,13.25,42.98,7.69,Aus rice,151.2,46.8,49.2
81,6.35,6.01,40.34,5.99,Aman rice,86.7,45.0,28.1
44,5.47,5.71,58.88,4.86,Boro rice,121.2,42.0,69.6
71,7.58,8.38,28.46,7.55,Aus rice,89.0,51.0,53.0
81,17.04,8.86,26.68,6.62,Boro rice,63.8,67.1,17.8
80,17.1,13.17,26.68,5.6,Boro rice,99.5,32.3,40.8
56,15.25,14.56,42.43,5.81,Boro rice,99.0,74.0,49.0
46,5.89,11.88,24.28,6.95,Aus rice,88.8,38.4,72.0
46,15.19,12.05,47.77,6.36,Aman rice,130.8,91.2,61.2
59,7.46,12.93,51.73,6.49,Boro rice,108.0,59.0,21.0
83,11.11,9.57,55.95,6.36,Aman rice,72.2,51.9,34.0
59,8.72,4.03,46.37,7.03,Boro rice,128.0,36.0,54.0
85,18.82,4.35,38.04,7.8,Boro rice,119.0,53.5,47.6
87,19.81,4.84,42.74,7.95,Aman rice,106.2,48.4,51.0
42,19.82,6.84,23.36,7.15,Boro rice,150.0,84.0,57.6
40,12.42,7.72,39.58,4.9,Aman rice,147.6,42.0,49.2
77,18.59,4.18,25.87,5.21,Aus rice,104.5,33.1,31.4
80,15.03,3.76,59.38,5.24,Aus rice,85.8,45.0,40.8
62,6.47,6.34,29.57,6.4,Boro rice,95.0,56.0,42.0
64,13.48,5.12,37.18,6.98,Aus rice,129.0,33.0,27.0
50,13.14,14.92,41.41,5.75,Aus rice,95.0,33.0,56.0
35,18.25,9.66,57.92,7.34,Boro rice,84.0,93.6,52.8
66,17.78,9.83,32.46,4.5,Aus rice,135.0,76.0,41.0
82,11.87,14.9,39.2,4.74,Aman rice,102.8,63.8,47.6
71,10.67,3.2,45.31,5.34,Aus rice,125.0,34.0,32.0
64,9.9,9.44,51.93,7.41,Aman rice,125.0,33.0,58.0
44,11.38,4.79,46.9,7.69,Aus rice,133.2,50.4,28.8
71,10.59,8.83,38.45,7.58,Aus rice,87.0,41.0,53.0
83,16.5,7.04,22.25,5.1,Boro rice,96.0,43.4,39.9
38,18.86,7.27,47.26,5.93,Aus rice,93.6,72.0,51.6
62,6.86,11.59,35.33,4.58,Aman rice,74.0,77.0,25.0
35,13.96,4.6,46.24,5.66,Boro rice,122.4,73.2,34.8
42,18.65,5.24,25.26,6.64,Boro rice,87.6,75.6,61.2
32,12.0,11.5,35.95,5.66,Aman rice,146.4,93.6,52.8
85,17.85,6.57,27.08,6.91,Aman rice,96.0,28.1,51.0
49,17.0,3.03,56.9,7.69,Boro rice,96.0,70.8,28.8
55,18.33,3.31,31.44,6.67,Aman rice,70.0,46.0,30.0
57,15.75,8.1,50.82,6.14,Aman rice,105.0,58.0,53.0
42,16.81,7.95,22.75,4.93,Aman rice,128.4,36.0,31.2
59,15.44,12.21,23.21,7.84,Aus rice,128.0,63.0,52.0
36,8.52,3.14,41.21,6.9,Aman rice,108.0,50.4,60.0
46,18.34,11.65,50.6,7.26,Boro rice,163.2,60.0,66.0
41,13.12,5.0,29.23,7.83,Aman rice,93.6,62.4,57.6
81,6.46,7.52,49.19,6.0,Aus rice,69.7,56.1,34.0
37,7.67,5.01,30.15,5.37,Aman rice,152.4,40.8,27.6
36,7.12,3.23,49.79,5.53,Boro rice,152.4,58.8,54.0
58,19.03,3.52,30.34,5.42,Aman rice,124.0,41.0,57.0
63,10.23,7.13,59.86,6.65,Boro rice,73.0,50.0,26.0
34,17.05,14.31,56.82,7.4,Aman rice,152.4,84.0,62.4
38,10.11,14.82,23.58,5.64,Boro rice,128.4,64.8,31.2
73,13.43,6.2,37.28,5.02,Aman rice,136.0,75.0,27.0
35,16.35,10.97,54.25,7.42,Aus rice,103.2,69.6,67.2
69,10.39,3.04,52.99,7.06,Boro rice,126.0,59.0,55.0
70,5.17,3.79,48.09,5.31,Aman rice,80.0,31.0,43.0
48,18.89,11.69,20.12,7.19,Aus rice,160.8,91.2,48.0
48,5.36,8.99,45.57,7.91,Boro rice,112.8,42.0,70.8
61,6.4,13.49,23.23,7.13,Aman rice,136.0,76.0,46.0
86,13.26,10.7,22.11,5.12,Aman rice,105.4,56.9,22.1
74,14.95,7.94,39.16,6.1,Aman rice,70.0,66.0,49.0
86,5.15,14.16,28.04,7.48,Aman rice,59.5,27.2,33.1
83,9.68,4.16,32.87,5.38,Aus rice,115.6,37.4,29.8
66,6.77,3.46,56.07,5.1,Boro rice,112.0,31.0,44.0
85,16.37,14.92,55.99,7.34,Boro rice,68.8,41.6,26.3
52,11.77,12.1,43.66,5.3,Aman rice,119.0,42.0,23.0
89,11.58,6.63,53.11,7.89,Aus rice,60.4,66.3,18.7
66,12.44,6.0,37.35,5.03,Aus rice,97.0,75.0,23.0
77,11.75,6.17,28.89,6.79,Boro rice,86.7,58.6,29.8
54,6.14,4.32,21.85,6.22,Boro rice,118.0,40.0,46.0
87,16.57,14.28,22.77,5.18,Aus rice,114.8,27.2,51.0
73,15.15,11.32,54.62,5.2,Aman rice,77.0,68.0,41.0
71,17.63,10.87,52.46,7.38,Aman rice,109.0,49.0,28.0
42,17.5,12.34,29.62,5.44,Aus rice,150.0,54.0,50.4
45,8.06,12.63,20.42,7.27,Aman rice,160.8,55.2,44.4
39,12.42,3.67,45.3,6.14,Boro rice,121.2,36.0,60.0
36,10.5,7.56,58.34,6.2,Aman rice,112.8,92.4,54.0
62,9.57,8.69,46.33,5.94,Boro rice,125.0,54.0,36.0
52,14.12,11.23,24.75,4.6,Aus rice,118.0,37.0,31.0
44,16.15,5.36,42.12,5.24,Aus rice,153.6,64.8,40.8
55,5.6,12.91,57.4,6.21,Boro rice,96.0,62.0,34.0
53,5.78,3.77,56.95,6.66,Boro rice,93.0,50.0,44.0
31,14.73,9.54,44.99,6.21,Aman rice,123.6,90.0,30.0
73,16.05,3.64,37.31,5.38,Aman rice,86.0,52.0,56.0
38,9.94,10.58,45.8,5.27,Aman rice,157.2,37.2,45.6
82,8.58,11.9,51.23,7.75,Aus rice,109.6,59.5,44.2
40,13.1,13.67,53.17,7.77,Boro rice,145.2,72.0,39.6
70,7.48,7.32,52.6,6.01,Aman rice,119.0,40.0,31.0
30,15.35,9.05,48.77,5.82,Boro rice,124.8,62.4,24.0
69,17.99,10.15,38.08,7.83,Aman rice,112.0,67.0,27.0
90,10.82,4.78,27.64,6.28,Aman rice,60.4,55.2,47.6
85,16.47,9.79,44.55,7.18,Boro rice,115.6,49.3,34.0
42,11.83,3.79,30.66,7.59,Boro rice,118.8,75.6,31.2
44,9.95,5.39,33.58,7.93,Boro rice,138.0,52.8,33.6
53,15.71,13.59,49.39,4.78,Boro rice,92.0,38.0,54.0
62,13.3,10.35,35.71,6.2,Boro rice,80.0,53.0,58.0
88,18.79,9.31,56.72,4.61,Aus rice,68.8,50.1,50.1
44,14.47,11.72,41.64,5.67,Aman rice,118.8,93.6,33.6
60,12.11,7.0,24.81,6.14,Boro rice,127.0,43.0,36.0
36,7.41,13.0,26.76,6.76,Aus rice,117.6,38.4,57.6
55,9.19,12.11,57.43,5.08,Boro rice,131.0,58.0,51.0
41,9.77,5.6,34.92,5.56,Aman rice,108.0,75.6,30.0
47,7.15,5.35,20.74,5.04,Boro rice,106.8,55.2,52.8
87,8.87,10.63,22.4,5.64,Boro rice,78.2,51.9,36.5
68,16.64,6.33,57.13,4.62,Aus rice,108.0,49.0,40.0
37,13.73,13.36,20.53,6.08,Aman rice,164.4,54.0,61.2
45,7.84,5.63,56.92,7.53,Boro rice,109.2,73.2,37.2
38,8.99,8.76,46.2,5.36,Aus rice,123.6,55.2,36.0
78,19.03,3.21,40.25,4.57,Aus rice,65.5,36.5,47.6
83,19.04,14.57,50.51,6.83,Boro rice,91.0,37.4,40.8
89,16.46,11.16,32.05,5.32,Aman rice,61.2,59.5,34.0
42,6.52,4.36,47.64,7.74,Boro rice,160.8,74.4,26.4
90,7.47,11.03,32.05,7.77,Aus rice,102.0,53.5,42.5
35,14.87,14.22,50.66,6.39,Aus rice,87.6,73.2,40.8
51,8.98,10.95,35.04,4.84,Boro rice,108.0,56.0,51.0
57,18.73,7.37,37.09,7.22,Aman rice,106.0,77.0,21.0
49,19.16,5.24,48.17,7.5,Boro rice,117.6,92.4,39.6
67,7.16,14.83,44.49,6.43,Boro rice,80.0,58.0,31.0
64,11.76,3.57,22.64,7.2,Boro rice,134.0,41.0,44.0
58,7.31,14.07,46.57,4.52,Boro rice,79.0,48.0,45.0
79,13.05,12.16,44.67,6.67,Boro rice,65.5,68.0,51.0
45,7.02,4.61,29.65,6.89,Boro rice,151.2,86.4,48.0
41,9.43,11.82,32.92,5.04,Boro rice,150.0,64.8,26.4
34,11.19,4.89,29.27,7.06,Aman rice,91.2,43.2,27.6
66,17.0,12.85,58.14,6.35,Boro rice,103.0,70.0,37.0
76,14.23,10.89,40.08,7.91,Aman rice,100.3,39.1,20.4
57,18.28,3.61,55.14,4.96,Aman rice,120.0,70.0,59.0
59,10.94,5.19,20.16,6.23,Aman rice,108.0,30.0,40.0
75,17.94,5.39,37.72,4.65,Boro rice,79.0,62.0,45.0
80,11.76,6.36,22.4,4.55,Aus rice,110.5,33.1,45.9
90,18.14,10.86,45.29,7.61,Boro rice,102.8,25.5,34.9
34,14.06,4.16,47.02,6.1,Aman rice,140.4,81.6,60.0
83,9.02,9.8,28.54,6.38,Boro rice,117.3,67.1,48.4
71,10.84,4.38,54.98,7.49,Aus rice,85.0,65.0,57.0
56,19.11,7.7,36.04,4.72,Boro rice,84.0,38.0,58.0
72,12.13,13.27,49.57,7.92,Aus rice,102.0,42.0,60.0
53,16.44,14.06,38.76,7.59,Aus rice,101.0,50.0,46.0
62,9.26,13.73,29.76,5.07,Aus rice,87.0,62.0,33.0
71,13.35,7.76,36.25,7.61,Aman rice,134.0,50.0,44.0
46,8.08,4.48,59.1,6.14,Aus rice,122.4,62.4,45.6
65,16.27,8.62,20.06,4.87,Aman rice,135.0,75.0,40.0
38,8.3,6.27,54.96,6.28,Boro rice,118.8,87.6,26.4
67,14.68,6.4,20.72,4.54,Boro rice,102.0,44.0,31.0
87,19.95,7.71,38.42,7.15,Aman rice,94.3,34.9,49.3
37,18.68,12.93,56.8,7.1,Aus rice,84.0,75.6,32.4
86,11.38,5.11,21.27,4.78,Aus rice,79.0,36.5,31.4
73,8.92,9.88,22.14,7.32,Boro rice,104.0,64.0,57.0
45,10.67,8.19,51.3,7.59,Aman rice,129.6,62.4,30.0
71,12.63,12.69,45.72,6.32,Boro rice,90.0,39.0,52.0
63,9.72,9.79,29.26,5.85,Aman rice,112.0,58.0,51.0
53,7.23,10.42,55.81,6.78,Aman rice,111.0,30.0,46.0
54,7.2,5.29,28.93,7.86,Aman rice,85.0,38.0,48.0
50,10.9,10.46,23.57,7.86,Aman rice,74.0,36.0,56.0
31,7.75,8.78,28.23,7.51,Boro rice,112.8,84.0,37.2
62,10.87,9.7,47.61,7.41,Aus rice,119.0,35.0,25.0
71,15.07,3.74,53.27,4.88,Boro rice,104.0,48.0,23.0
44,9.75,5.11,39.77,5.72,Aus rice,112.8,39.6,43.2
56,5.5,11.82,24.14,4.8,Aus rice,81.0,30.0,44.0
45,12.01,9.36,38.24,6.68,Boro rice,159.6,52.8,63.6
55,10.09,7.07,21.55,5.44,Aman rice,83.0,47.0,26.0
68,16.96,4.09,30.85,5.58,Boro rice,122.0,79.0,24.0
86,19.69,4.45,28.89,5.19,Aman rice,97.8,35.7,38.2
46,17.1,12.41,24.42,7.86,Aus rice,154.8,67.2,55.2
40,8.25,14.65,31.59,4.94,Aman rice,123.6,81.6,32.4
33,8.33,11.98,29.92,6.88,Boro rice,159.6,81.6,72.0
48,14.06,7.43,53.39,7.87,Boro rice,91.2,38.4,54.0
73,6.53,11.64,49.58,4.96,Boro rice,128.0,63.0,52.0
84,11.16,3.01,27.84,5.43,Aus rice,74.0,55.2,36.5
38,12.94,4.51,51.64,5.24,Aman rice,139.2,80.4,64.8
49,12.43,5.73,36.4,6.48,Aus rice,140.4,91.2,54.0
31,11.68,7.94,24.65,7.43,Boro rice,106.8,93.6,68.4
62,8.19,4.0,20.56,6.19,Boro rice,71.0,64.0,27.0
59,16.58,7.07,55.06,5.16,Aus rice,97.0,51.0,52.0
69,19.22,13.45,41.18,7.37,Boro rice,102.0,46.0,52.0
87,13.14,3.19,22.45,5.77,Aus rice,73.1,28.1,51.0
56,16.9,11.33,41.25,5.52,Aman rice,83.0,39.0,55.0
77,17.56,13.87,32.48,5.69,Boro rice,62.9,62.9,46.8
85,17.71,4.73,38.62,7.52,Boro rice,59.5,45.9,26.3
53,6.92,4.8,54.13,6.11,Boro rice,84.0,35.0,35.0
85,11.95,5.05,57.42,5.93,Aman rice,60.4,39.1,48.4
74,5.85,3.1,53.38,7.14,Aman rice,132.0,55.0,21.0
49,14.37,13.94,51.33,7.73,Aus rice,123.6,73.2,40.8
31,11.82,8.49,32.36,6.03,Aus rice,87.6,44.4,44.4
50,5.2,9.7,58.5,6.77,Aman rice,100.0,54.0,55.0
49,11.22,7.72,47.69,5.65,Boro rice,115.2,72.0,50.4
54,15.72,11.93,40.81,7.58,Boro rice,109.0,41.0,29.0
69,6.39,5.59,28.95,6.01,Aman rice,88.0,32.0,30.0
52,18.35,11.21,45.72,7.31,Aus rice,79.0,45.0,48.0
82,7.85,9.97,38.86,5.47,Aman rice,68.8,61.2,46.8
46,11.17,8.7,41.71,5.93,Aus rice,156.0,94.8,63.6
34,18.35,3.87,54.52,6.53,Aman rice,103.2,44.4,57.6
38,8.45,9.43,59.21,5.58,Boro rice,98.4,51.6,72.0
59,9.24,9.62,37.79,7.66,Aus rice,73.0,61.0,24.0
45,8.95,9.77,20.55,5.34,Boro rice,150.0,73.2,32.4
68,18.94,3.12,47.92,5.74,Boro rice,82.0,38.0,23.0
52,12.16,7.27,37.94,6.04,Boro rice,97.0,48.0,30.0
54,14.54,11.48,43.56,5.75,Aman rice,94.0,72.0,50.0
46,19.53,12.45,53.06,5.03,Aman rice,146.4,50.4,43.2
55,16.25,14.04,41.81,4.93,Boro rice,108.0,31.0,56.0
89,6.11,13.98,52.36,4.56,Aus rice,94.3,34.9,30.6
73,8.99,11.82,58.78,6.63,Aman rice,82.0,33.0,37.0
70,5.78,14.64,23.4,7.69,Aman rice,135.0,57.0,34.0
84,18.94,6.58,26.49,5.12,Aman rice,93.5,29.8,34.9
43,7.16,6.93,37.84,6.31,Aus rice,120.0,42.0,61.2
36,16.84,6.89,44.7,5.43,Boro rice,110.4,75.6,51.6
80,5.91,11.82,46.54,6.96,Boro rice,74.8,35.7,29.8
83,7.75,12.22,50.02,7.52,Aus rice,107.1,34.9,18.7
37,10.55,6.58,30.44,7.16,Aman rice,132.0,72.0,25.2
85,11.22,13.44,51.43,6.54,Aus rice,60.4,60.4,38.2
33,6.7,3.78,28.39,5.79,Boro rice,140.4,40.8,69.6
82,9.65,8.05,27.11,5.7,Aus rice,77.3,57.8,42.5
44,5.65,5.86,55.76,6.1,Boro rice,144.0,78.0,70.8
49,5.93,13.44,55.61,5.69,Boro rice,141.6,49.2,55.2
53,16.11,9.7,56.37,6.08,Aus rice,118.0,66.0,42.0
46,17.37,8.45,56.2,5.47,Boro rice,121.2,86.4,49.2
55,17.43,7.02,57.37,5.14,Boro rice,89.0,62.0,42.0
56,13.55,5.92,24.45,6.31,Aman rice,127.0,73.0,27.0
61,14.49,10.31,42.42,4.96,Aman rice,139.0,30.0,51.0
34,14.0,12.84,49.84,7.49,Aman rice,144.0,79.2,31.2
82,7.0,11.34,58.42,5.83,Aman rice,91.0,32.3,28.9
50,9.3,6.88,37.04,5.12,Aus rice,94.0,41.0,40.0
79,15.35,3.95,40.77,5.69,Boro rice,81.6,68.0,33.1
47,9.92,10.75,55.55,4.71,Aman rice,139.2,38.4,68.4
